IndiGo 6E-652,Chennai,05:00,New Delhi,07:50,2h 50m,Non stop,3630,3630
IndiGo 6E-976,Chennai,06:30,New Delhi,09:20,2h 50m,Non stop,3630,3630
Jet Airways 9W-828,Chennai,02:10,New Delhi,04:55,2h 45m,Non stop,3700,3700
Jet Airways 9W-822,Chennai,06:15,New Delhi,08:55,2h 40m,Non stop,3700,3700
Air India AI-440,Chennai,06:10,New Delhi,08:55,2h 45m,Non stop,3784,3784
Air India AI-143,Chennai,08:45,New Delhi,11:35,2h 50m,Non stop,3784,3784
Spicejet SG-104,Chennai,07:00,New Delhi,09:50,2h 50m,Non stop,3868,-
Air India AI-430,Chennai,09:55,New Delhi,12:55,3h 00m,Non stop,4309,4309
Spicejet SG-106,Chennai,13:00,New Delhi,15:50,2h 50m,Non stop,5128,-
Spicejet SG-108,Chennai,19:40,New Delhi,22:30,2h 50m,Non stop,5128,-
Spicejet SG-831/ 124,Chennai,06:25,New Delhi,10:55,4h 30m,1 Stop,5188,-
IndiGo 6E-487,Chennai,10:40,New Delhi,13:35,2h 55m,Non stop,5416,4156
Spicejet SG-3301/ 192,Chennai,06:05,New Delhi,12:15,6h 10m,1 Stop,5642,-
Jet Airways 9W-736,Chennai,10:25,New Delhi,13:15,2h 50m,Non stop,5836,5837
Jet Airways 9W-740,Chennai,13:40,New Delhi,16:25,2h 45m,Non stop,5836,5837
Jet Airways 9W-799,Chennai,17:10,New Delhi,19:55,2h 45m,Non stop,5836,5837
Jet Airways 9W-840,Chennai,18:20,New Delhi,21:05,2h 45m,Non stop,5836,5837
IndiGo 6E-695,Chennai,08:30,New Delhi,11:25,2h 55m,Non stop,6202,4156
IndiGo 6E-704,Chennai,22:35,New Delhi,01:25,2h 50m,Non stop,6202,6202
Jet Airways 9W-2319,Chennai,07:20,New Delhi,04:55,21h 35m,1 Stop,6237,6237
